Business Unit,PH1,PH2,Item Code,Item Description,Sales Channel,Stat Forecast,Actual Amount,Date,Deviation,Deviation Category,Priority
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,679.0,0.0,2026-09-01,679.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,679.0,0.0,2028-09-01,679.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,679.0,0.0,2027-09-01,679.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,676.0,0.0,2027-05-01,676.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,676.0,0.0,2025-05-01,676.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,653.0,0.0,2026-03-01,653.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,653.0,0.0,2027-03-01,653.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,653.0,0.0,2025-03-01,653.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,653.0,0.0,2026-08-01,653.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,653.0,0.0,2027-08-01,653.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,634.0,0.0,2026-10-01,634.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,634.0,0.0,2027-10-01,634.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,634.0,0.0,2028-10-01,634.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,628.0,0.0,2025-03-01,628.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,628.0,0.0,2027-03-01,628.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,628.0,0.0,2026-03-01,628.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,620.0,0.0,2026-08-01,620.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,620.0,0.0,2027-08-01,620.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,620.0,0.0,2028-08-01,620.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,608.0,0.0,2027-09-01,608.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,608.0,0.0,2028-09-01,608.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,608.0,0.0,2026-09-01,608.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,606.0,0.0,2026-05-01,606.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,583.0,0.0,2026-05-01,583.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,581.0,0.0,2028-07-01,581.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,581.0,0.0,2027-07-01,581.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,581.0,0.0,2026-07-01,581.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,581.0,0.0,2027-10-01,581.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,581.0,0.0,2026-10-01,581.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,581.0,0.0,2028-10-01,581.0,Low,3
BU1,Category 6,Category 6A,126278,Item RWR,Channel_X,578.0,0.0,2026-11-01,578.0,Low,3
BU1,Category 11,Category 11G,651592,Item YLW,Channel_X,575.0,0.0,2028-07-01,575.0,Low,3
BU1,Category 11,Category 11G,651592,Item YLW,Channel_X,575.0,0.0,2027-07-01,575.0,Low,3
BU1,Category 11,Category 11G,651592,Item YLW,Channel_X,575.0,0.0,2026-07-01,575.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,571.0,0.0,2026-05-01,571.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,571.0,0.0,2026-05-01,571.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,569.0,0.0,2027-12-01,569.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,569.0,0.0,2026-06-01,569.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,569.0,0.0,2025-12-01,569.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,569.0,0.0,2026-12-01,569.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,569.0,0.0,2025-03-01,569.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,569.0,0.0,2027-06-01,569.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,569.0,0.0,2026-03-01,569.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,569.0,0.0,2027-03-01,569.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,559.0,0.0,2027-03-01,559.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,559.0,0.0,2026-03-01,559.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,559.0,0.0,2025-03-01,559.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,557.0,0.0,2026-02-01,557.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,557.0,0.0,2027-02-01,557.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,557.0,0.0,2025-02-01,557.0,Low,3
BU1,Category 1,Category 1O,126166,Item XGV,Channel_X,547.0,0.0,2026-10-01,547.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,542.0,0.0,2025-05-01,542.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,542.0,0.0,2027-05-01,542.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,541.0,0.0,2027-08-01,541.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,541.0,0.0,2026-08-01,541.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,541.0,0.0,2028-08-01,541.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,540.0,0.0,2026-08-01,540.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,540.0,0.0,2027-08-01,540.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,540.0,0.0,2028-08-01,540.0,Low,3
BU1,Category 4,Category 4A,763269,Item UFM,Channel_X,535.0,0.0,2026-07-01,535.0,Low,3
BU1,Category 4,Category 4A,763269,Item UFM,Channel_X,535.0,0.0,2025-02-01,535.0,Low,3
BU1,Category 4,Category 4A,763269,Item UFM,Channel_X,535.0,0.0,2026-08-01,535.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,528.0,0.0,2027-09-01,528.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,528.0,0.0,2026-09-01,528.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,528.0,0.0,2028-09-01,528.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,528.0,0.0,2025-03-01,528.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,528.0,0.0,2026-03-01,528.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,528.0,0.0,2027-03-01,528.0,Low,3
BU1,Category 1,Category 1O,126166,Item XGV,Channel_X,527.0,0.0,2027-10-01,527.0,Low,3
BU1,Category 1,Category 1O,126166,Item XGV,Channel_X,527.0,0.0,2028-10-01,527.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,525.0,0.0,2026-05-01,525.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,523.0,0.0,2028-10-01,523.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,523.0,0.0,2027-10-01,523.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,523.0,0.0,2026-10-01,523.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,519.0,0.0,2027-02-01,519.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,519.0,0.0,2025-02-01,519.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,519.0,0.0,2026-02-01,519.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,515.0,0.0,2028-06-01,515.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,515.0,0.0,2026-06-01,515.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,515.0,0.0,2027-06-01,515.0,Low,3
BU1,Category 1,Category 1O,126166,Item XGV,Channel_X,514.0,0.0,2025-12-01,514.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,510.0,0.0,2025-05-01,510.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,510.0,0.0,2027-05-01,510.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,508.0,0.0,2028-09-01,508.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,508.0,0.0,2027-09-01,508.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,508.0,0.0,2026-09-01,508.0,Low,3
BU1,Category 9,Category 9A,751621,Item GNP,Channel_X,507.0,0.0,2025-12-01,507.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,506.0,0.0,2027-04-01,506.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,506.0,0.0,2026-04-01,506.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,506.0,0.0,2025-04-01,506.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,505.0,0.0,2025-02-01,505.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,505.0,0.0,2027-09-01,505.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,505.0,0.0,2028-09-01,505.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,505.0,0.0,2026-02-01,505.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,505.0,0.0,2026-09-01,505.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,505.0,0.0,2027-02-01,505.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,495.0,0.0,2028-06-01,495.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,495.0,0.0,2027-06-01,495.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,495.0,0.0,2026-06-01,495.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,494.0,0.0,2025-11-01,494.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,494.0,0.0,2027-11-01,494.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,494.0,0.0,2026-11-01,494.0,Low,3
BU1,Category 4,Category 4A,763269,Item UFM,Channel_X,486.0,0.0,2026-01-01,486.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,484.0,0.0,2026-08-01,484.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,484.0,0.0,2027-08-01,484.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,484.0,0.0,2028-08-01,484.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,482.0,0.0,2027-05-01,482.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,482.0,0.0,2025-05-01,482.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,480.0,0.0,2026-05-01,480.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,480.0,0.0,2026-10-01,480.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,480.0,0.0,2028-10-01,480.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,480.0,0.0,2027-10-01,480.0,Low,3
BU1,Category 1,Category 1O,126166,Item XGV,Channel_X,474.0,0.0,2026-12-01,474.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,472.0,0.0,2025-12-01,472.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,472.0,0.0,2027-12-01,472.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,472.0,0.0,2026-12-01,472.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,461.0,0.0,2026-11-01,461.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,461.0,0.0,2027-11-01,461.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,461.0,0.0,2025-11-01,461.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,458.0,0.0,2026-10-01,458.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,458.0,0.0,2028-10-01,458.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,458.0,0.0,2027-10-01,458.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,457.0,0.0,2025-05-01,457.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,455.0,0.0,2025-01-01,455.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,455.0,0.0,2025-02-01,455.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,455.0,0.0,2027-01-01,455.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,455.0,0.0,2026-01-01,455.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,455.0,0.0,2025-04-01,455.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,455.0,0.0,2027-04-01,455.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,455.0,0.0,2027-02-01,455.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,455.0,0.0,2026-02-01,455.0,Low,3
BU1,Category 3,Category 3D,114544,Item YYG,Channel_X,455.0,0.0,2026-04-01,455.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,455.0,0.0,2026-05-01,455.0,Low,3
BU1,Category 1,Category 1O,126166,Item XGV,Channel_X,454.0,0.0,2027-12-01,454.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,451.0,0.0,2028-09-01,451.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,451.0,0.0,2026-09-01,451.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,451.0,0.0,2027-09-01,451.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,450.0,0.0,2026-07-01,450.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,450.0,0.0,2028-07-01,450.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,450.0,0.0,2027-07-01,450.0,Low,3
BU1,Category 4,Category 4A,763269,Item UFM,Channel_X,437.0,0.0,2025-03-01,437.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,434.0,0.0,2026-11-01,434.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,434.0,0.0,2027-11-01,434.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,434.0,0.0,2025-11-01,434.0,Low,3
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,430.0,0.0,2028-10-01,430.0,Low,3
BU1,Category 1,Category 1O,126166,Item XGV,Channel_X,427.0,0.0,2025-03-01,427.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,425.0,0.0,2025-12-01,425.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,425.0,0.0,2027-12-01,425.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,425.0,0.0,2026-12-01,425.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,422.0,0.0,2027-03-01,422.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,422.0,0.0,2025-03-01,422.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,422.0,0.0,2026-03-01,422.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,418.0,0.0,2026-05-01,418.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,418.0,0.0,2026-03-01,418.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,418.0,0.0,2026-06-01,418.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,418.0,0.0,2025-03-01,418.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,418.0,0.0,2028-06-01,418.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,418.0,0.0,2025-12-01,418.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,418.0,0.0,2027-06-01,418.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,418.0,0.0,2027-03-01,418.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,418.0,0.0,2027-12-01,418.0,Low,3
BU1,Category 3,Category 3D,669942,Item VQI,Channel_X,418.0,0.0,2026-12-01,418.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,418.0,0.0,2027-09-01,418.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,418.0,0.0,2026-09-01,418.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,418.0,0.0,2028-09-01,418.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,415.0,0.0,2026-07-01,415.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,415.0,0.0,2028-07-01,415.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,415.0,0.0,2027-07-01,415.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,414.0,0.0,2025-03-01,414.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,414.0,0.0,2026-03-01,414.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,414.0,0.0,2027-03-01,414.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,414.0,0.0,2028-06-01,414.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,414.0,0.0,2027-06-01,414.0,Low,3
BU1,Category 1,Category 1U,508995,Item BCT,Channel_X,414.0,0.0,2026-06-01,414.0,Low,3
BU1,Category 1,Category 1O,126166,Item XGV,Channel_X,411.0,0.0,2027-03-01,411.0,Low,3
BU1,Category 1,Category 1O,126166,Item XGV,Channel_X,407.0,0.0,2026-03-01,407.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,402.0,0.0,2026-02-01,402.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,402.0,0.0,2027-02-01,402.0,Low,3
BU1,Category 8,Category 8A,257849,Item JED,Channel_X,402.0,0.0,2025-02-01,402.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,396.0,0.0,2025-02-01,396.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,396.0,0.0,2026-02-01,396.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,396.0,0.0,2027-02-01,396.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,390.0,0.0,2026-10-01,390.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,390.0,0.0,2028-10-01,390.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,390.0,0.0,2027-10-01,390.0,Low,3
BU1,Category 4,Category 4A,763269,Item UFM,Channel_X,389.0,0.0,2027-07-01,389.0,Low,3
BU1,Category 4,Category 4A,763269,Item UFM,Channel_X,389.0,0.0,2026-05-01,389.0,Low,3
BU1,Category 4,Category 4A,763269,Item UFM,Channel_X,389.0,0.0,2026-02-01,389.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,383.0,0.0,2026-01-01,383.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,383.0,0.0,2025-01-01,383.0,Low,3
BU1,Category 2,Category 2I,204269,Item EPV,Channel_X,383.0,0.0,2027-01-01,383.0,Low,3
BU1,Category 1,Category 1T,548025,Item JNO,Channel_X,375.0,0.0,2026-01-01,375.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,365.0,0.0,2026-01-01,365.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,365.0,0.0,2026-08-01,365.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,365.0,0.0,2028-08-01,365.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,365.0,0.0,2027-08-01,365.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,365.0,0.0,2027-01-01,365.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,364.0,0.0,2025-01-01,364.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,361.0,0.0,2027-05-01,361.0,Low,3
BU1,Category 3,Category 3F,342295,Item KMA,Channel_X,361.0,0.0,2025-05-01,361.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,354.0,0.0,2027-11-01,354.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,354.0,0.0,2025-11-01,354.0,Low,3
BU1,Category 1,Category 1M,574962,Item YST,Channel_X,354.0,0.0,2026-11-01,354.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,347.0,0.0,2026-01-01,347.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,347.0,0.0,2027-02-01,347.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,347.0,0.0,2026-02-01,347.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,347.0,0.0,2025-01-01,347.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,347.0,0.0,2027-01-01,347.0,Low,3
BU1,Category 6,Category 6B,456641,Item TYT,Channel_X,347.0,0.0,2025-02-01,347.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,344.0,0.0,2027-05-01,344.0,Low,3
BU1,Category 1,Category 1L,141818,Item PES,Channel_X,344.0,0.0,2025-05-01,344.0,Low,3
BU1,Category 7,Category 7F,382017,Item FLH,Channel_X,343.0,0.0,2026-02-01,343.0,Low,3
