Business Unit,PH1,PH2,Item Code,Item Description,Sales Channel,Month,Year,Stat Forecast,Actual Amount
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,May,2026, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jun,2027, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Dec,2026, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Mar,2027, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Mar,2025, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Dec,2025, 320 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Aug,2026, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Aug,2027, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Apr,2027, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jan,2025, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Oct,2026, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Nov,2025, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Oct,2027, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jul,2028, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jan,2027, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,May,2027, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Apr,2025, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Feb,2027, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jan,2026, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Nov,2026, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Oct,2028, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jul,2026, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Nov,2027, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jul,2027, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Feb,2026, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Apr,2026, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Aug,2028, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Feb,2025, 256 , -   
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,May,2025, 256 , -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Feb,2024, -   ," 18,341 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Aug,2024, -   , 972 
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jan,2024, -   , 194 
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Aug,2024, -   ," 44,511 "
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Aug,2025, -   ," 13,481 "
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Oct,2025, -   ," 3,067 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jun,2025, -   , 853 
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jan,2024, -   ," 17,296 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jul,2025, -   , 454 
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Feb,2024, -   , 518 
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,May,2024, -   , 65 
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Sep,2025, -   , -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,May,2023, -   ," 10,574 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jun,2024, -   ," 1,564 "
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Sep,2024, -   ," 49,828 "
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Nov,2024, -   ," 15,127 "
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jul,2025, -   ," 16,385 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Jul,2024, -   , -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Oct,2024, -   ," 23,347 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Nov,2024, -   , 389 
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Dec,2024, -   ," 1,102 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Oct,2024, -   , 454 
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jun,2024, -   ," 43,302 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Mar,2024, -   , 842 
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,May,2024, -   ," 15,498 "
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Sep,2025, -   ," 9,877 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Apr,2024, -   , -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Dec,2024, -   ," 13,116 "
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jul,2024, -   ," 44,568 "
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Jun,2025, -   ," 18,217 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Sep,2024, -   , 130 
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Aug,2025, -   , 259 
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Apr,2024, -   ," 9,871 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,Oct,2025, -   , -   
BU1,Category 10,Category 10A,883455,Item RRE,Channel_X,Mar,2024, -   ," 19,402 "
BU1,Category 10,Category 10A,184434,Item ULO,Channel_X,May,2023, -   , 65 
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Dec,2026," 24,181 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Jan,2025," 21,353 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Jun,2026," 18,872 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Apr,2025," 14,437 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Jul,2026," 14,012 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Sep,2026," 13,600 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Mar,2025," 13,308 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Nov,2026," 13,222 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Oct,2026," 13,173 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Aug,2026," 12,908 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Dec,2025," 12,755 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Nov,2025," 12,244 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,May,2025," 12,057 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Jun,2027," 10,853 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Jun,2028," 10,853 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Mar,2027," 10,772 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Dec,2027," 10,772 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Sep,2028," 10,761 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Sep,2027," 10,761 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Jan,2026," 10,738 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,May,2026," 10,709 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Feb,2025," 10,640 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Mar,2026," 10,382 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Jul,2027," 8,876 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Jul,2028," 8,876 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Aug,2028," 8,676 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Aug,2027," 8,676 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Nov,2027," 8,618 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Oct,2028," 8,618 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Oct,2027," 8,618 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,May,2027," 8,617 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Apr,2027," 8,617 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Feb,2027," 8,617 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Jan,2027," 8,617 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Apr,2026," 8,407 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Feb,2026," 7,329 ", -   
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,May,2024, -   ," 4,656 "
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Sep,2025, -   ," 7,663 "
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Oct,2025, -   ," 6,955 "
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Jun,2025, -   ," 5,754 "
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Aug,2025, -   ," 9,578 "
BU1,Category 11,Category 11B,168451,Item DNW,Channel_X,Jul,2025, -   ," 13,375 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Mar,2025," 13,553 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Mar,2026," 13,498 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Mar,2027," 13,440 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Oct,2026," 12,104 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Oct,2027," 12,038 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jul,2028," 11,221 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jul,2026," 11,220 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jul,2027," 11,153 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jun,2028," 10,232 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jun,2026," 10,202 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jun,2027," 10,174 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Feb,2025," 10,097 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Feb,2026," 10,063 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Feb,2027," 10,012 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Oct,2028," 9,440 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Sep,2026," 8,851 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Sep,2028," 8,841 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,May,2026," 8,818 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Sep,2027," 8,778 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Dec,2025," 7,518 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Dec,2026," 7,459 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Aug,2026," 7,458 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Aug,2028," 7,457 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Aug,2027," 7,387 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Dec,2027," 7,364 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jan,2025," 7,308 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jan,2026," 7,273 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jan,2027," 7,251 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,May,2025," 7,195 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,May,2027," 7,105 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Nov,2025," 7,104 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Nov,2026," 7,050 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Nov,2027," 6,978 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Apr,2025," 6,081 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Apr,2026," 6,025 ", -   
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Apr,2027," 5,975 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Mar,2027," 4,914 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Mar,2025," 4,906 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Mar,2026," 4,905 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jun,2028," 4,811 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jun,2027," 4,811 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jun,2026," 4,810 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Dec,2027," 4,801 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,May,2026," 4,798 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Dec,2026," 4,791 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Dec,2025," 4,787 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Sep,2028," 4,536 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Sep,2027," 4,536 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Sep,2026," 4,536 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jan,2027," 4,233 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jan,2026," 4,233 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jan,2025," 4,231 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Feb,2027," 4,230 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Feb,2026," 4,230 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Feb,2025," 4,229 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Apr,2026," 3,869 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Apr,2025," 3,869 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Apr,2027," 3,869 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Oct,2028," 3,845 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Oct,2027," 3,845 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Oct,2026," 3,845 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,May,2027," 3,762 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,May,2025," 3,761 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jul,2028," 3,642 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jul,2027," 3,642 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jul,2026," 3,642 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Aug,2028," 3,486 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Aug,2027," 3,486 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Aug,2026," 3,486 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Nov,2026," 3,305 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Nov,2025," 3,300 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Nov,2027," 3,294 ", -   
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Aug,2024, -   ," 2,018 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jun,2024, -   ," 2,043 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Aug,2023, -   ," 15,483 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Mar,2023, -   ," 14,184 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Mar,2024, -   ," 16,040 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Apr,2023, -   ," 5,336 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Sep,2025, -   ," 4,244 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Sep,2024, -   , 17 
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Aug,2025, -   ," 3,647 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Sep,2023, -   ," 8,561 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,May,2022, -   , 378 
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jun,2023, -   ," 12,779 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Nov,2024, -   ," 6,815 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jul,2024, -   , 992 
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Sep,2024, -   ," 9,147 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Oct,2025, -   ," 2,504 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Aug,2025, -   ," 7,679 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,May,2023, -   ," 8,091 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Oct,2024, -   ," 13,016 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Oct,2024, -   ," 1,157 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jan,2024, -   ," 7,365 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Apr,2024, -   ," 6,395 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Dec,2024, -   ," 4,878 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Nov,2023, -   ," 10,191 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jun,2024, -   ," 11,147 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jun,2025, -   ," 11,066 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Nov,2024, -   , 165 
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jan,2024, -   ," 1,602 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jul,2025, -   ," 11,813 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jul,2024, -   , 135 
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Feb,2024, -   ," 10,643 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,May,2023, -   , 567 
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Apr,2024, -   ," 3,032 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Oct,2025, -   ," 8,513 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Mar,2024, -   ," 5,871 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Dec,2023, -   ," 9,233 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Sep,2025, -   ," 7,536 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Feb,2024, -   ," 2,772 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jul,2025, -   ," 3,764 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jan,2023, -   ," 10,547 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Oct,2023, -   ," 11,214 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Dec,2024, -   ," 7,422 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Feb,2023, -   ," 13,953 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Aug,2024, -   ," 16,202 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,May,2024, -   ," 8,513 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,May,2024, -   ," 3,488 "
BU1,Category 11,Category 11F,160127,Item RGL,Channel_X,Jul,2023, -   ," 7,979 "
BU1,Category 11,Category 11F,784068,Item HDJ,Channel_X,Jun,2025, -   ," 5,168 "
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Mar,2025," 11,422 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Mar,2026," 11,312 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Mar,2027," 11,299 ", -   
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,Mar,2025," 10,527 ", -   
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,Mar,2026," 9,894 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Feb,2025," 9,523 ", -   
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,Mar,2027," 9,492 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Feb,2026," 9,432 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Feb,2027," 9,430 ", -   
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,Feb,2025," 8,581 ", -   
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,Sep,2026," 8,386 ", -   
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,Aug,2028," 8,193 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Sep,2028," 8,124 ", -   
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,Feb,2026," 8,101 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Sep,2026," 8,074 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Sep,2027," 7,972 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Aug,2028," 7,934 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Aug,2026," 7,871 ", -   
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,Aug,2026," 7,856 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Aug,2027," 7,803 ", -   
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,Feb,2027," 7,753 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,May,2026," 7,672 ", -   
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,Sep,2027," 7,573 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Nov,2025," 7,487 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Nov,2026," 7,408 ", -   
BU1,Category 11,Category 11G,707268,Item RJG,Channel_X,Nov,2027," 7,353 ", -   
BU1,Category 11,Category 11G,637226,Item TLD,Channel_X,Aug,2027," 7,262 ", -   
